"SID","freq","hourBlock","day","beepvar","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","Wave","waveDay","beepvar3","SID2","A_rude_comp","E_quiet_comp","C_lazy_comp","N_relaxed_comp","N_depressed_comp","E_outgoing_comp","A_kind_comp","C_reliable_comp","N_worried_comp"
"10413",81,3,58,231,3,4,1,2,3,2,3,4,2,"7","7.58",87,154,1.39325842696629,3.38235294117647,2.32352941176471,3.55882352941176,2.06862745098039,2.56862745098039,4.39325842696629,3.69607843137255,1.94117647058824
"10413",81,1,59,233,1,5,5,4,3,1,5,3,2,"7","7.59",88,154,1.39325842696629,3.38235294117647,2.32352941176471,3.55882352941176,2.06862745098039,2.56862745098039,4.39325842696629,3.69607843137255,1.94117647058824
"10413",81,2,59,234,2,4,4,3,4,3,4,4,1,"7","7.59",89,154,1.39325842696629,3.38235294117647,2.32352941176471,3.55882352941176,2.06862745098039,2.56862745098039,4.39325842696629,3.69607843137255,1.94117647058824
"19",8,1,6,21,2,3,2,4,2,4,3,3,2,"7","7.6",34,5,1.93103448275862,3.68571428571429,2.6,3.62857142857143,2.11428571428571,2.4,3.37931034482759,3.48571428571429,2.11428571428571
"36",14,1,6,21,1,2,3,4,1,2,2,3,2,"7","7.6",11,8,1.2,3.86666666666667,2.33333333333333,2.4,2,2.13333333333333,2.5,3.13333333333333,2.46666666666667
"51",27,1,6,21,1,4,1,3,1,1,5,3,2,"7","7.6",77,13,1.40540540540541,3.79268292682927,1.85365853658537,3.82926829268293,1.29268292682927,2.31707317073171,4.41891891891892,3.96341463414634,2.13414634146341
"52",10,1,6,21,2,4,3,3,2,2,3,3,3,"7","7.6",47,14,2.02083333333333,3.08,2.5,3.4,1.96,2.96,3.41666666666667,3.52,2.54
"54",28,1,6,21,1,3,1,3,1,4,3,4,1,"7","7.6",70,15,1.05084745762712,2.62666666666667,1.24,3.53333333333333,1.02666666666667,3.28,3.66101694915254,4.42666666666667,1.34666666666667
"70",19,1,6,21,2,3,3,4,2,3,4,4,1,"7","7.6",44,18,1.38375,2.46,2.08,3.36,1.54,3.56,4.03875,4.32,2.08
"91",29,1,6,21,2,5,3,4,1,2,3,4,1,"7","7.6",66,28,1.95454545454545,3.46575342465753,2.02739726027397,3.93150684931507,1.04109589041096,3.02739726027397,3.078125,3.9041095890411,1.41095890410959
